model_area_m2,osm_area_m2,overlap_area_m2,union_area_m2,precision_like,recall_like,iou,result_name,model_file,status,error
59006.375,7657.082733568335,6687.099488549976,59976.358245017844,0.11332842406519593,0.8733220890031665,0.11149559066643504,se3233_rgb_250_03,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3233_rgb_250_03_original.geojson,ok,
,,,,,,,se3234_rgb_250_03,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3234_rgb_250_03_original.geojson,failed,"RuntimeError(""All Overpass API requests failed:\nhttps://overpass-api.de/api/interpreter: HTTP 429\nhttps://overpass.kumi.systems/api/interpreter: HTTPSConnectionPool(host='overpass.kumi.systems', port=443): Read timed out. (read timeout=45)\nhttps://overpass.openstreetmap.ru/api/interpreter: HTTPSConnectionPool(host='overpass.openstreetmap.ru', port=443): Max retries exceeded with url: /api/interpreter (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x1384d5760>, 'Connection to overpass.openstreetmap.ru timed out. (connect timeout=45)'))"")"
63799.25,9891.644347500453,9477.51800137866,64213.37634612118,0.14855218519619995,0.9581337205854515,0.14759413911352678,se3330_rgb_250_05,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3330_rgb_250_05_original.geojson,ok,
54812.4375,2157.2204293455566,1925.932408100944,55043.72552124438,0.035136777270686856,0.8927842430479952,0.034989136179701744,se3331_rgb_250_04,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3331_rgb_250_04_original.geojson,ok,
148905.4375,21195.75542840746,20427.606192449995,149673.5867359564,0.13718509233385112,0.963759289516619,0.13648103608612613,se3332_rgb_250_04,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3332_rgb_250_04_original.geojson,ok,
22930.5625,9216.565157070881,7620.713765320461,24526.41389174963,0.332338718918058,0.8268496598728979,0.31071455447809965,se3333_rgb_250_03,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3333_rgb_250_03_original.geojson,ok,
20409.8125,1439.5791885041347,1360.3567699624953,20489.034918541438,0.0666520954057023,0.9449683496578196,0.06639437998768054,se3334_rgb_250_03,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3334_rgb_250_03_original.geojson,ok,
22409.3125,20505.986977849654,19522.346775589922,23392.952702260263,0.871171160453491,0.952031560181802,0.8345396591899081,se3430_rgb_250_05,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3430_rgb_250_05_original.geojson,ok,
80823.625,49053.93869137206,39768.99964735124,90108.56404402158,0.4920467208362807,0.8107198057542743,0.4413453934070297,se3431_rgb_250_04,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3431_rgb_250_04_original.geojson,ok,
55206.1875,26592.805758860526,25861.181190968073,55937.81206789227,0.4684471498954365,0.9724878760621684,0.4623202130176294,se3432_rgb_250_04,/Users/hou/Desktop/dissertation/Parking/parking-lot-mapping-tool/output_files/tif_original/Download_2994141/getmapping_rgb_25cm_6421042/se3432_rgb_250_04_original.geojson,ok,
