sample_id,source,stratum,area_m2,labelled_frac,cell,centroid_x,centroid_y,category,conf,note,options
fp_l_051,fp_other,large_1k+,1020.3,,c3r9,428873.1,430722.6,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_052,fp_other,large_1k+,1377.4,,c6r7,431592.1,432163.0,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_053,fp_other,large_1k+,1241.1,,c1r6,426170.3,433474.5,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_054,fp_other,large_1k+,1156.3,,c8r2,433886.7,437260.1,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_055,fp_other,large_1k+,1204.5,,c7r2,432339.9,437369.1,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_056,fp_other,large_1k+,2262.0,,c0r2,425588.4,437742.5,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_057,fp_other,large_1k+,1022.0,,c0r5,425911.7,434036.9,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_058,fp_other,large_1k+,1092.2,,c3r9,428194.6,430691.9,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_059,fp_other,large_1k+,1184.2,,c1r1,426106.8,438700.5,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_060,fp_other,large_1k+,1076.6,,c4r0,429279.4,439433.5,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_061,fp_other,large_1k+,1395.3,,c5r3,430583.3,436843.1,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_062,fp_other,large_1k+,1362.8,,c0r2,425669.6,437703.2,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_063,fp_other,large_1k+,2003.6,,c1r1,426031.3,438647.4,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_064,fp_other,large_1k+,1432.3,,c9r5,434830.2,434440.0,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_065,fp_other,large_1k+,1336.8,,c4r1,429061.3,438223.6,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_066,fp_other,large_1k+,1828.4,,c4r8,429953.2,431899.4,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_067,fp_other,large_1k+,1409.3,,c6r5,431577.4,434130.0,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_068,fp_other,large_1k+,2325.5,,c6r7,431376.3,432177.0,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fp_l_069,fp_other,large_1k+,1207.2,,c6r5,431444.4,434984.4,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
