col_index,row_index,dist_km,model_m2,manual_all_m2,prec_all,rec_all,iou_all,manual_c23_m2,prec_c23,rec_c23,iou_c23,parking_share,model_over_manual
8,1,6.242520668428019,1770.1,1237.9,0.6566,0.9389,0.6298,1237.9,0.6566,0.9389,0.6298,0.0012379000000000001,1.4299216414896194
6,0,6.276702131573365,15457.0,10638.6,0.5407,0.7856,0.4712,9415.1,0.4786,0.7858,0.4234,0.0106386,1.4529167371646645
2,0,6.4845427909442845,7350.5,3841.8,0.4445,0.8505,0.4123,2803.6,0.3573,0.9367,0.3489,0.0038418000000000002,1.9132958509032223
7,0,6.613162122519389,6096.2,2645.5,0.3109,0.7165,0.2768,1963.5,0.2814,0.8737,0.2704,0.0026455,2.304365904365904
0,1,6.653846662940975,34517.6,19834.2,0.5264,0.9161,0.5022,14774.3,0.3933,0.9188,0.3801,0.0198342,1.740307146242349
9,1,6.877934857642847,9408.4,7265.2,0.6266,0.8115,0.547,7265.2,0.6266,0.8115,0.547,0.0072651999999999994,1.2949953201563618
1,0,6.907414248281332,16400.9,7052.4,0.3736,0.8689,0.3537,7052.4,0.3736,0.8689,0.3537,0.0070523999999999995,2.3255771085020704
8,0,7.076074962078389,3554.0,1023.6,0.2813,0.9768,0.2795,1023.6,0.2813,0.9768,0.2795,0.0010236,3.472059398202423
0,0,7.441468133851843,15166.2,11958.1,0.6213,0.788,0.5323,11438.8,0.6,0.7956,0.5199,0.011958100000000001,1.268278405432301
9,0,7.642497005506788,2038.2,785.8,0.318,0.8248,0.2979,785.8,0.318,0.8248,0.2979,0.0007857999999999999,2.5937897683889033
